PlanetID,period,ecc,StarName,Rp_REarth,M_sol,PeriodSigma,EccSigma,TruePeriod,TrueEcc,MeasuredPeriodCenter,MeasuredEccCenter,SigmaInBinWidths,InterimPrior
HD 142373_4,1.204,0.006,HD 142373,1.265,1.08,0.0,0.0,1.204,0.006,1.204,0.006,0.0,likelihood_samples
HD 142373_7,2.476,0.051,HD 142373,2.611,1.08,0.0,0.0,2.476,0.051,2.476,0.051,0.0,likelihood_samples
HD 142373_8,5.232,0.053,HD 142373,1.805,1.08,0.0,0.0,5.232,0.053,5.232,0.053,0.0,likelihood_samples
HD 142860_5,0.789,0.074,HD 142860,2.443,1.25,0.0,0.0,0.789,0.074,0.789,0.074,0.0,likelihood_samples
HD 143761_4,1.165,0.157,HD 143761,0.808,0.97,0.0,0.0,1.165,0.157,1.165,0.157,0.0,likelihood_samples
HD 147513_6,2.225,0.075,HD 147513,1.796,1.07,0.0,0.0,2.225,0.075,2.225,0.075,0.0,likelihood_samples
HD 149661_5,6.008,0.051,HD 149661,2.936,0.87,0.0,0.0,6.008,0.051,6.008,0.051,0.0,likelihood_samples
HD 155885_0,0.299,0.016,HD 155885,1.08,0.85,0.0,0.0,0.299,0.016,0.299,0.016,0.0,likelihood_samples
HD 155886_1,0.396,0.064,HD 155886,0.698,0.85,0.0,0.0,0.396,0.064,0.396,0.064,0.0,likelihood_samples
HD 155886_3,1.521,0.044,HD 155886,2.915,0.85,0.0,0.0,1.521,0.044,1.521,0.044,0.0,likelihood_samples
HD 155886_7,0.492,0.079,HD 155886,3.352,0.85,0.0,0.0,0.492,0.079,0.492,0.079,0.0,likelihood_samples
HD 155886_8,8.286,0.087,HD 155886,2.635,0.85,0.0,0.0,8.286,0.087,8.286,0.087,0.0,likelihood_samples
HD 156026_0,6.877,0.093,HD 156026,3.171,0.68,0.0,0.0,6.877,0.093,6.877,0.093,0.0,likelihood_samples
HD 156026_1,0.514,0.081,HD 156026,0.509,0.68,0.0,0.0,0.514,0.081,0.514,0.081,0.0,likelihood_samples
HD 156026_2,0.334,0.044,HD 156026,0.607,0.68,0.0,0.0,0.334,0.044,0.334,0.044,0.0,likelihood_samples
HD 156026_3,1.214,0.06,HD 156026,2.318,0.68,0.0,0.0,1.214,0.06,1.214,0.06,0.0,likelihood_samples
HD 156026_5,2.671,0.124,HD 156026,2.972,0.68,0.0,0.0,2.671,0.124,2.671,0.124,0.0,likelihood_samples
HD 1581_1,1.816,0.046,HD 1581,2.633,1.11,0.0,0.0,1.816,0.046,1.816,0.046,0.0,likelihood_samples
HD 1581_3,1.728,0.126,HD 1581,2.76,1.11,0.0,0.0,1.728,0.126,1.728,0.126,0.0,likelihood_samples
HD 165341 A_3,0.548,0.027,HD 165341 A,1.615,0.88,0.0,0.0,0.548,0.027,0.548,0.027,0.0,likelihood_samples
HD 165341 B_4,0.75,0.117,HD 165341 B,1.137,0.78,0.0,0.0,0.75,0.117,0.75,0.117,0.0,likelihood_samples
HD 165499_4,1.891,0.062,HD 165499,3.377,1.08,0.0,0.0,1.891,0.062,1.891,0.062,0.0,likelihood_samples
HD 166_0,2.072,0.09,HD 166,1.08,0.94,0.0,0.0,2.072,0.09,2.072,0.09,0.0,likelihood_samples
HD 16895 A_0,6.197,0.047,HD 16895 A,2.816,1.21,0.0,0.0,6.197,0.047,6.197,0.047,0.0,likelihood_samples
HD 16895 A_5,1.761,0.05,HD 16895 A,3.144,1.21,0.0,0.0,1.761,0.05,1.761,0.05,0.0,likelihood_samples
HD 17206_1,0.749,0.039,HD 17206,2.253,1.21,0.0,0.0,0.749,0.039,0.749,0.039,0.0,likelihood_samples
HD 17925_2,0.696,0.099,HD 17925,0.938,0.82,0.0,0.0,0.696,0.099,0.696,0.099,0.0,likelihood_samples
HD 17925_4,0.862,0.062,HD 17925,1.424,0.82,0.0,0.0,0.862,0.062,0.862,0.062,0.0,likelihood_samples
HD 185144_1,0.692,0.07,HD 185144,0.5,0.87,0.0,0.0,0.692,0.07,0.692,0.07,0.0,likelihood_samples
HD 185144_3,0.612,0.135,HD 185144,2.317,0.87,0.0,0.0,0.612,0.135,0.612,0.135,0.0,likelihood_samples
HD 187691 A_3,2.564,0.038,HD 187691 A,2.654,1.25,0.0,0.0,2.564,0.038,2.564,0.038,0.0,likelihood_samples
HD 190248_1,1.206,0.055,HD 190248,1.408,0.94,0.0,0.0,1.206,0.055,1.206,0.055,0.0,likelihood_samples
HD 190360_0,0.904,0.17,HD 190360,1.79,0.96,0.0,0.0,0.904,0.17,0.904,0.17,0.0,likelihood_samples
HD 190360_3,7.065,0.139,HD 190360,2.733,0.96,0.0,0.0,7.065,0.139,7.065,0.139,0.0,likelihood_samples
HD 192310_1,2.035,0.082,HD 192310,2.73,0.77,0.0,0.0,2.035,0.082,2.035,0.082,0.0,likelihood_samples
HD 192310_2,0.571,0.109,HD 192310,2.544,0.77,0.0,0.0,0.571,0.109,0.571,0.109,0.0,likelihood_samples
HD 19373_0,0.613,0.034,HD 19373,3.212,1.08,0.0,0.0,0.613,0.034,0.613,0.034,0.0,likelihood_samples
HD 19373_2,0.593,0.048,HD 19373,1.483,1.08,0.0,0.0,0.593,0.048,0.593,0.048,0.0,likelihood_samples
HD 19373_3,0.535,0.061,HD 19373,1.037,1.08,0.0,0.0,0.535,0.061,0.535,0.061,0.0,likelihood_samples
HD 19373_7,4.679,0.048,HD 19373,1.622,1.08,0.0,0.0,4.679,0.048,4.679,0.048,0.0,likelihood_samples
HD 201091_1,1.307,0.108,HD 201091,0.699,0.68,0.0,0.0,1.307,0.108,1.307,0.108,0.0,likelihood_samples
HD 201091_4,4.068,0.067,HD 201091,3.013,0.68,0.0,0.0,4.068,0.067,4.068,0.067,0.0,likelihood_samples
HD 201092_1,5.614,0.059,HD 201092,2.37,0.63,0.0,0.0,5.614,0.059,5.614,0.059,0.0,likelihood_samples
HD 202560_0,1.013,0.075,HD 202560,1.59,0.59,0.0,0.0,1.013,0.075,1.013,0.075,0.0,likelihood_samples
HD 202560_1,0.534,0.052,HD 202560,0.674,0.59,0.0,0.0,0.534,0.052,0.534,0.052,0.0,likelihood_samples
HD 202560_3,1.051,0.117,HD 202560,1.589,0.59,0.0,0.0,1.051,0.117,1.051,0.117,0.0,likelihood_samples
HD 202560_6,0.347,0.085,HD 202560,0.785,0.59,0.0,0.0,0.347,0.085,0.347,0.085,0.0,likelihood_samples
HD 203608_0,3.062,0.092,HD 203608,1.79,1.14,0.0,0.0,3.062,0.092,3.062,0.092,0.0,likelihood_samples
HD 203608_6,0.357,0.072,HD 203608,0.985,1.14,0.0,0.0,0.357,0.072,0.357,0.072,0.0,likelihood_samples
HD 20630_1,0.527,0.142,HD 20630,1.547,0.98,0.0,0.0,0.527,0.142,0.527,0.142,0.0,likelihood_samples
HD 20766_0,1.537,0.161,HD 20766,1.674,1.01,0.0,0.0,1.537,0.161,1.537,0.161,0.0,likelihood_samples
HD 20766_4,2.637,0.031,HD 20766,0.912,1.01,0.0,0.0,2.637,0.031,2.637,0.031,0.0,likelihood_samples
HD 20794_1,3.77,0.095,HD 20794,1.302,0.97,0.0,0.0,3.77,0.095,3.77,0.095,0.0,likelihood_samples
HD 20807_1,1.858,0.069,HD 20807,0.954,1.07,0.0,0.0,1.858,0.069,1.858,0.069,0.0,likelihood_samples
HD 209100_11,1.035,0.107,HD 209100,1.174,0.72,0.0,0.0,1.035,0.107,1.035,0.107,0.0,likelihood_samples
HD 209100_2,1.159,0.073,HD 209100,1.925,0.72,0.0,0.0,1.159,0.073,1.159,0.073,0.0,likelihood_samples
HD 209100_4,7.856,0.022,HD 209100,2.632,0.72,0.0,0.0,7.856,0.022,7.856,0.022,0.0,likelihood_samples
HD 209100_5,0.596,0.076,HD 209100,0.931,0.72,0.0,0.0,0.596,0.076,0.596,0.076,0.0,likelihood_samples
HD 209100_6,2.615,0.082,HD 209100,0.885,0.72,0.0,0.0,2.615,0.082,2.615,0.082,0.0,likelihood_samples
HD 209100_8,3.579,0.099,HD 209100,2.488,0.72,0.0,0.0,3.579,0.099,3.579,0.099,0.0,likelihood_samples
HD 209100_9,0.815,0.071,HD 209100,2.297,0.72,0.0,0.0,0.815,0.071,0.815,0.071,0.0,likelihood_samples
HD 210302_4,1.86,0.122,HD 210302,1.727,1.25,0.0,0.0,1.86,0.122,1.86,0.122,0.0,likelihood_samples
HD 212330 A_0,2.286,0.031,HD 212330 A,3.281,1.02,0.0,0.0,2.286,0.031,2.286,0.031,0.0,likelihood_samples
HD 216803_1,7.846,0.087,HD 216803,2.035,0.72,0.0,0.0,7.846,0.087,7.846,0.087,0.0,likelihood_samples
HD 216803_4,5.339,0.038,HD 216803,2.631,0.72,0.0,0.0,5.339,0.038,5.339,0.038,0.0,likelihood_samples
HD 216803_6,0.333,0.071,HD 216803,1.431,0.72,0.0,0.0,0.333,0.071,0.333,0.071,0.0,likelihood_samples
HD 219134_0,1.708,0.068,HD 219134,3.021,0.75,0.0,0.0,1.708,0.068,1.708,0.068,0.0,likelihood_samples
HD 219134_2,0.378,0.085,HD 219134,1.279,0.75,0.0,0.0,0.378,0.085,0.378,0.085,0.0,likelihood_samples
HD 219134_5,2.842,0.052,HD 219134,1.09,0.75,0.0,0.0,2.842,0.052,2.842,0.052,0.0,likelihood_samples
HD 219134_7,1.131,0.056,HD 219134,2.277,0.75,0.0,0.0,1.131,0.056,1.131,0.056,0.0,likelihood_samples
HD 22484_1,1.11,0.109,HD 22484,1.996,1.14,0.0,0.0,1.11,0.109,1.11,0.109,0.0,likelihood_samples
HD 23249_1,3.857,0.031,HD 23249,1.487,0.87,0.0,0.0,3.857,0.031,3.857,0.031,0.0,likelihood_samples
HD 26965 A_1,0.361,0.058,HD 26965 A,1.38,0.86,0.0,0.0,0.361,0.058,0.361,0.058,0.0,likelihood_samples
HD 26965 A_2,0.219,0.049,HD 26965 A,0.5,0.86,0.0,0.0,0.219,0.049,0.219,0.049,0.0,likelihood_samples
HD 30652_2,1.51,0.081,HD 30652,1.563,1.25,0.0,0.0,1.51,0.081,1.51,0.081,0.0,likelihood_samples
HD 30652_3,5.289,0.133,HD 30652,2.129,1.25,0.0,0.0,5.289,0.133,5.289,0.133,0.0,likelihood_samples
HD 30652_4,4.088,0.119,HD 30652,2.49,1.25,0.0,0.0,4.088,0.119,4.088,0.119,0.0,likelihood_samples
HD 32147_2,6.834,0.062,HD 32147,1.942,0.75,0.0,0.0,6.834,0.062,6.834,0.062,0.0,likelihood_samples
HD 33262 A_4,0.958,0.091,HD 33262 A,2.255,1.14,0.0,0.0,0.958,0.091,0.958,0.091,0.0,likelihood_samples
HD 33262 A_6,0.765,0.139,HD 33262 A,0.646,1.14,0.0,0.0,0.765,0.139,0.765,0.139,0.0,likelihood_samples
HD 34411_1,1.837,0.078,HD 34411,0.897,1.08,0.0,0.0,1.837,0.078,1.837,0.078,0.0,likelihood_samples
HD 3651 A_0,0.798,0.09,HD 3651 A,1.086,0.86,0.0,0.0,0.798,0.09,0.798,0.09,0.0,likelihood_samples
HD 37394_11,1.351,0.065,HD 37394,2.415,0.88,0.0,0.0,1.351,0.065,1.351,0.065,0.0,likelihood_samples
HD 37394_16,4.529,0.055,HD 37394,2.621,0.88,0.0,0.0,4.529,0.055,4.529,0.055,0.0,likelihood_samples
HD 37394_3,1.481,0.044,HD 37394,1.502,0.88,0.0,0.0,1.481,0.044,1.481,0.044,0.0,likelihood_samples
HD 37394_9,0.855,0.077,HD 37394,0.726,0.88,0.0,0.0,0.855,0.077,0.855,0.077,0.0,likelihood_samples
HD 4614 A_1,0.492,0.133,HD 4614 A,0.728,1.14,0.0,0.0,0.492,0.133,0.492,0.133,0.0,likelihood_samples
HD 4614 A_2,3.89,0.017,HD 4614 A,1.361,1.14,0.0,0.0,3.89,0.017,3.89,0.017,0.0,likelihood_samples
HD 4628_6,2.03,0.055,HD 4628,1.942,0.78,0.0,0.0,2.03,0.055,2.03,0.055,0.0,likelihood_samples
HD 50692_0,7.554,0.04,HD 50692,2.831,1.08,0.0,0.0,7.554,0.04,7.554,0.04,0.0,likelihood_samples
HD 53705_1,4.12,0.083,HD 53705,3.306,1.04,0.0,0.0,4.12,0.083,4.12,0.083,0.0,likelihood_samples
HD 53705_2,1.979,0.089,HD 53705,2.478,1.04,0.0,0.0,1.979,0.089,1.979,0.089,0.0,likelihood_samples
HD 55575_0,1.057,0.09,HD 55575,0.727,1.14,0.0,0.0,1.057,0.09,1.057,0.09,0.0,likelihood_samples
HD 58855_0,7.198,0.055,HD 58855,2.746,1.16,0.0,0.0,7.198,0.055,7.198,0.055,0.0,likelihood_samples
HD 58855_8,6.552,0.02,HD 58855,1.665,1.16,0.0,0.0,6.552,0.02,6.552,0.02,0.0,likelihood_samples
HD 65907 A_2,0.962,0.058,HD 65907 A,1.202,1.11,0.0,0.0,0.962,0.058,0.962,0.058,0.0,likelihood_samples
HD 693_3,1.604,0.069,HD 693,1.975,1.18,0.0,0.0,1.604,0.069,1.604,0.069,0.0,likelihood_samples
HD 72905_3,0.82,0.099,HD 72905,2.776,1.08,0.0,0.0,0.82,0.099,0.82,0.099,0.0,likelihood_samples
HD 72905_4,0.853,0.214,HD 72905,1.407,1.08,0.0,0.0,0.853,0.214,0.853,0.214,0.0,likelihood_samples
HD 7570_2,2.603,0.063,HD 7570,1.73,1.14,0.0,0.0,2.603,0.063,2.603,0.063,0.0,likelihood_samples
HD 86728 A_4,5.572,0.15,HD 86728 A,2.985,1.0,0.0,0.0,5.572,0.15,5.572,0.15,0.0,likelihood_samples
HD 86728 A_6,4.786,0.137,HD 86728 A,2.462,1.0,0.0,0.0,4.786,0.137,4.786,0.137,0.0,likelihood_samples
HD 88230_0,3.191,0.024,HD 88230,1.413,0.63,0.0,0.0,3.191,0.024,3.191,0.024,0.0,likelihood_samples
HD 88230_1,0.282,0.102,HD 88230,2.613,0.63,0.0,0.0,0.282,0.102,0.282,0.102,0.0,likelihood_samples
HD 88230_2,1.15,0.058,HD 88230,0.511,0.63,0.0,0.0,1.15,0.058,1.15,0.058,0.0,likelihood_samples
HD 88230_3,2.08,0.055,HD 88230,1.541,0.63,0.0,0.0,2.08,0.055,2.08,0.055,0.0,likelihood_samples
HD 88230_4,0.711,0.12,HD 88230,0.831,0.63,0.0,0.0,0.711,0.12,0.711,0.12,0.0,likelihood_samples
HD 88230_5,5.136,0.09,HD 88230,1.594,0.63,0.0,0.0,5.136,0.09,5.136,0.09,0.0,likelihood_samples
HD 95128_4,3.048,0.173,HD 95128,1.218,1.07,0.0,0.0,3.048,0.173,3.048,0.173,0.0,likelihood_samples
HD 95735_0,0.832,0.041,HD 95735,0.901,0.44,0.0,0.0,0.832,0.041,0.832,0.041,0.0,likelihood_samples
HD 95735_2,0.37,0.078,HD 95735,0.638,0.44,0.0,0.0,0.37,0.078,0.37,0.078,0.0,likelihood_samples
HD 95735_3,0.1,0.146,HD 95735,0.847,0.44,0.0,0.0,0.1,0.146,0.1,0.146,0.0,likelihood_samples
HD 95735_4,5.891,0.023,HD 95735,1.454,0.44,0.0,0.0,5.891,0.023,5.891,0.023,0.0,likelihood_samples
HD 95735_6,0.099,0.047,HD 95735,1.008,0.44,0.0,0.0,0.099,0.047,0.099,0.047,0.0,likelihood_samples
