PlanetID,HDName,Spec,d_pc,L_sol,M_sol,Rp_Rearth,sma_AU,P_yr,ecc,inc_rad,aop_rad,pan_rad,epp_yr,Mp_Mearth,albedo,HZ
HD 84117_3,HD 84117,F9V,14.951,1.977,1.140,0.938,4.825,9.926,0.073,0.508,1.636,3.775,2028.304,0.708,0.307,False
HD 84117_4,HD 84117,F9V,14.951,1.977,1.140,0.536,2.450,3.592,0.052,1.314,2.026,1.359,2032.074,0.172,0.391,False
HD 84117_5,HD 84117,F9V,14.951,1.977,1.140,0.592,1.830,2.318,0.072,0.914,1.524,2.601,2032.908,0.094,0.344,True
HD 84117_6,HD 84117,F9V,14.951,1.977,1.140,1.678,0.931,0.842,0.051,0.984,3.015,1.996,2034.337,4.762,0.368,False
HD 84117_7,HD 84117,F9V,14.951,1.977,1.140,1.814,4.066,7.680,0.021,1.163,4.293,0.491,2033.578,9.836,0.391,False
HD 84117_8,HD 84117,F9V,14.951,1.977,1.140,2.059,1.348,1.467,0.122,0.826,1.434,0.187,2034.176,5.981,0.389,True
HD 84117_9,HD 84117,F9V,14.951,1.977,1.140,2.508,0.270,0.131,0.037,0.759,2.078,2.177,2034.987,13.760,0.231,False
HD 84117_10,HD 84117,F9V,14.951,1.977,1.140,1.915,0.838,0.719,0.053,0.968,5.846,0.120,2034.530,2.505,0.400,False
HD 84117_11,HD 84117,F9V,14.951,1.977,1.140,2.181,0.171,0.066,0.120,0.710,0.305,1.040,2034.936,4.841,0.362,False
HD 84117_12,HD 84117,F9V,14.951,1.977,1.140,0.536,0.397,0.234,0.090,0.182,2.895,4.556,2034.880,0.068,0.346,False
HD 84117_13,HD 84117,F9V,14.951,1.977,1.140,0.733,0.116,0.037,0.081,1.138,4.471,4.449,2034.984,0.436,0.363,False
HD 84117_14,HD 84117,F9V,14.951,1.977,1.140,1.507,1.163,1.175,0.127,1.030,0.945,4.641,2034.958,10.510,0.600,False
HD 84117_15,HD 84117,F9V,14.951,1.977,1.140,2.468,2.048,2.745,0.036,1.558,0.298,1.993,2032.366,4.943,0.283,True
HD 84117_16,HD 84117,F9V,14.951,1.977,1.140,0.500,0.767,0.629,0.071,0.650,0.868,5.592,2034.935,0.100,0.295,False
HD 84117_17,HD 84117,F9V,14.951,1.977,1.140,1.222,1.034,0.985,0.068,1.024,5.773,3.731,2034.960,1.111,0.301,False
HD 84117_18,HD 84117,F9V,14.951,1.977,1.140,1.685,4.460,8.823,0.161,1.151,0.058,0.792,2032.829,3.376,0.317,False
HD 84117_19,HD 84117,F9V,14.951,1.977,1.140,0.520,2.791,4.366,0.113,1.477,1.183,0.903,2034.714,0.095,0.387,False
HD 84117_20,HD 84117,F9V,14.951,1.977,1.140,0.988,1.553,1.812,0.041,0.474,0.197,4.355,2034.175,3.652,0.322,True
HD 84117_21,HD 84117,F9V,14.951,1.977,1.140,2.681,0.595,0.430,0.035,1.165,0.695,1.087,2034.778,8.543,0.348,False
HD 84117_22,HD 84117,F9V,14.951,1.977,1.140,1.666,3.909,7.238,0.059,0.820,3.897,3.187,2032.738,2.611,0.432,False
HD 84117_23,HD 84117,F9V,14.951,1.977,1.140,0.737,0.471,0.302,0.040,1.421,1.518,6.232,2034.985,0.164,0.349,False
HD 84117_24,HD 84117,F9V,14.951,1.977,1.140,2.440,0.712,0.562,0.059,0.278,3.576,0.025,2034.937,4.383,0.404,False
HD 84117_25,HD 84117,F9V,14.951,1.977,1.140,0.897,4.012,7.527,0.029,1.391,3.708,0.104,2032.106,0.543,0.320,False
HD 84117_26,HD 84117,F9V,14.951,1.977,1.140,2.443,1.498,1.718,0.082,1.370,5.337,6.240,2034.896,3.823,0.357,True
HD 84117_27,HD 84117,F9V,14.951,1.977,1.140,0.821,2.724,4.212,0.041,0.538,0.030,3.673,2032.060,0.762,0.319,False
HD 84117_28,HD 84117,F9V,14.951,1.977,1.140,1.416,1.806,2.273,0.043,0.421,5.362,0.797,2034.529,3.199,0.350,True
HD 84117_29,HD 84117,F9V,14.951,1.977,1.140,0.980,2.158,2.969,0.173,1.357,3.890,5.638,2034.103,0.722,0.409,False
HD 84117_30,HD 84117,F9V,14.951,1.977,1.140,0.787,0.636,0.475,0.112,1.082,1.023,5.532,2034.813,0.219,0.281,False
HD 84117_31,HD 84117,F9V,14.951,1.977,1.140,2.628,0.486,0.317,0.126,0.747,4.857,3.369,2034.868,15.074,0.488,False
HD 84117_32,HD 84117,F9V,14.951,1.977,1.140,0.676,0.703,0.552,0.022,0.498,5.375,3.907,2034.999,0.319,0.389,False
HD 84117_33,HD 84117,F9V,14.951,1.977,1.140,0.569,0.306,0.159,0.048,1.182,1.598,1.716,2034.982,0.055,0.379,False
HD 84117_34,HD 84117,F9V,14.951,1.977,1.140,0.887,3.719,6.716,0.059,1.027,5.773,0.317,2029.205,0.590,0.337,False
HD 84117_35,HD 84117,F9V,14.951,1.977,1.140,1.831,0.592,0.426,0.114,0.735,2.855,3.736,2034.999,4.588,0.295,False
HD 84117_36,HD 84117,F9V,14.951,1.977,1.140,2.212,1.655,1.993,0.084,0.751,3.791,1.852,2033.987,2.526,0.371,True
HD 84117_37,HD 84117,F9V,14.951,1.977,1.140,3.390,3.076,5.054,0.007,0.671,6.187,4.170,2032.526,11.046,0.335,False
HD 84117_38,HD 84117,F9V,14.951,1.977,1.140,0.817,3.017,4.908,0.050,0.964,2.272,5.254,2033.365,0.545,0.341,False
HD 84737_0,HD 84737,G0(V),18.823,2.795,1.080,1.179,1.473,1.719,0.063,0.741,6.133,1.700,2034.187,1.306,0.379,True
HD 84737_1,HD 84737,G0(V),18.823,2.795,1.080,0.594,1.504,1.776,0.068,1.310,2.511,5.560,2033.313,0.258,0.368,True
HD 84737_2,HD 84737,G0(V),18.823,2.795,1.080,0.757,1.069,1.063,0.083,0.719,4.307,4.169,2034.636,0.643,0.447,False
HD 84737_3,HD 84737,G0(V),18.823,2.795,1.080,0.815,0.261,0.128,0.061,1.042,0.146,0.703,2034.977,0.554,0.355,False
HD 84737_4,HD 84737,G0(V),18.823,2.795,1.080,2.020,0.251,0.121,0.159,0.722,2.514,5.231,2034.918,4.475,0.316,False
HD 84737_5,HD 84737,G0(V),18.823,2.795,1.080,2.571,4.318,8.633,0.022,1.088,5.498,1.108,2027.696,5.667,0.376,False
HD 84737_6,HD 84737,G0(V),18.823,2.795,1.080,2.718,1.260,1.362,0.030,1.194,3.834,2.661,2034.945,9.129,0.378,False
HD 84737_7,HD 84737,G0(V),18.823,2.795,1.080,3.280,4.326,8.659,0.075,1.350,2.789,3.469,2031.107,12.984,0.283,False
HD 84737_8,HD 84737,G0(V),18.823,2.795,1.080,3.264,0.315,0.170,0.048,1.361,5.881,3.146,2034.848,4.258,0.435,False
HD 84737_9,HD 84737,G0(V),18.823,2.795,1.080,3.051,1.590,1.930,0.113,0.720,5.366,4.311,2033.554,10.167,0.317,True
HD 84737_10,HD 84737,G0(V),18.823,2.795,1.080,0.557,0.402,0.245,0.056,1.452,2.025,4.101,2034.757,0.165,0.409,False
HD 84737_11,HD 84737,G0(V),18.823,2.795,1.080,0.621,0.505,0.345,0.041,1.485,3.421,6.233,2034.816,0.184,0.385,False
HD 84737_12,HD 84737,G0(V),18.823,2.795,1.080,0.829,0.126,0.043,0.036,1.394,3.078,6.280,2034.972,0.289,0.440,False
HD 84737_13,HD 84737,G0(V),18.823,2.795,1.080,1.316,0.240,0.113,0.085,1.395,3.972,3.245,2034.966,3.348,0.308,False
HD 84737_14,HD 84737,G0(V),18.823,2.795,1.080,0.580,4.007,7.718,0.036,0.604,2.099,0.598,2027.687,0.106,0.335,False
HD 84737_15,HD 84737,G0(V),18.823,2.795,1.080,2.403,0.688,0.549,0.065,1.161,1.534,4.573,2034.799,5.173,0.321,False
HD 84737_16,HD 84737,G0(V),18.823,2.795,1.080,1.492,1.866,2.452,0.092,0.139,5.734,6.137,2033.189,2.474,0.348,True
HD 84737_17,HD 84737,G0(V),18.823,2.795,1.080,1.289,1.190,1.248,0.098,1.433,5.805,2.000,2034.497,1.588,0.298,False
HD 84737_18,HD 84737,G0(V),18.823,2.795,1.080,0.651,0.943,0.881,0.060,0.859,5.299,2.898,2034.505,0.244,0.399,False
HD 84737_19,HD 84737,G0(V),18.823,2.795,1.080,0.758,1.482,1.737,0.019,1.105,6.146,2.669,2033.750,0.355,0.356,True
HD 84737_20,HD 84737,G0(V),18.823,2.795,1.080,0.646,0.360,0.208,0.058,1.167,4.681,0.323,2034.894,0.160,0.293,False
HD 84737_21,HD 84737,G0(V),18.823,2.795,1.080,2.435,4.652,9.654,0.064,0.505,4.805,4.224,2026.243,14.048,0.443,False
HD 84737_22,HD 84737,G0(V),18.823,2.795,1.080,1.399,3.215,5.548,0.068,0.221,4.791,2.220,2032.674,4.742,0.316,False
HD 84737_23,HD 84737,G0(V),18.823,2.795,1.080,1.898,2.671,4.200,0.045,0.510,3.020,4.948,2032.282,8.367,0.383,True
HD 84737_24,HD 84737,G0(V),18.823,2.795,1.080,0.817,1.205,1.273,0.177,1.377,2.868,5.228,2034.564,0.420,0.409,False
HD 84737_25,HD 84737,G0(V),18.823,2.795,1.080,0.935,0.296,0.155,0.101,1.348,1.509,5.160,2034.937,0.708,0.467,False
HD 84737_26,HD 84737,G0(V),18.823,2.795,1.080,0.995,4.040,7.814,0.026,0.855,4.052,2.618,2031.562,5.109,0.513,False
HD 84737_27,HD 84737,G0(V),18.823,2.795,1.080,2.000,0.747,0.622,0.025,1.278,1.818,2.020,2034.922,8.333,0.388,False
HD 84737_28,HD 84737,G0(V),18.823,2.795,1.080,2.053,0.148,0.055,0.067,0.746,1.620,4.705,2034.995,2.383,0.318,False
HD 84737_29,HD 84737,G0(V),18.823,2.795,1.080,0.699,0.750,0.626,0.109,0.969,3.682,5.035,2034.582,0.164,0.260,False
HD 84737_30,HD 84737,G0(V),18.823,2.795,1.080,2.973,3.039,5.099,0.025,0.987,2.576,3.087,2031.658,8.543,0.380,False
HD 84737_31,HD 84737,G0(V),18.823,2.795,1.080,0.604,1.945,2.611,0.110,0.594,1.375,5.611,2033.269,0.344,0.326,True
HD 84737_32,HD 84737,G0(V),18.823,2.795,1.080,2.684,2.733,4.348,0.089,0.781,5.127,0.904,2034.914,8.298,0.346,False
HD 84737_33,HD 84737,G0(V),18.823,2.795,1.080,0.584,3.033,5.084,0.111,1.544,5.407,5.523,2033.340,0.135,0.336,False
HD 84737_34,HD 84737,G0(V),18.823,2.795,1.080,0.773,0.411,0.253,0.113,1.521,1.054,0.604,2034.950,0.213,0.360,False
HD 84737_35,HD 84737,G0(V),18.823,2.795,1.080,2.406,4.067,7.892,0.102,0.925,0.047,0.965,2028.859,7.148,0.420,False
HD 84737_36,HD 84737,G0(V),18.823,2.795,1.080,0.667,1.082,1.083,0.084,1.063,2.112,3.354,2034.068,0.254,0.375,False
HD 84737_37,HD 84737,G0(V),18.823,2.795,1.080,1.011,2.037,2.797,0.125,1.308,5.011,0.424,2034.310,1.208,0.359,True
HD 84737_38,HD 84737,G0(V),18.823,2.795,1.080,1.081,0.099,0.030,0.086,1.139,5.273,0.332,2034.980,2.036,0.315,False
HD 84737_39,HD 84737,G0(V),18.823,2.795,1.080,0.747,4.698,9.797,0.080,0.711,0.869,0.003,2033.733,0.554,0.283,False
HD 84737_40,HD 84737,G0(V),18.823,2.795,1.080,1.803,0.575,0.420,0.075,0.598,4.865,2.741,2034.885,2.526,0.343,False
HD 84737_41,HD 84737,G0(V),18.823,2.795,1.080,2.432,0.162,0.063,0.102,0.975,0.727,4.867,2034.991,7.389,0.364,False
HD 84737_42,HD 84737,G0(V),18.823,2.795,1.080,2.559,1.162,1.205,0.051,1.175,2.451,0.219,2034.658,5.415,0.455,False
HD 84737_43,HD 84737,G0(V),18.823,2.795,1.080,0.883,0.256,0.125,0.179,1.297,6.274,4.098,2034.916,0.719,0.374,False
HD 84737_44,HD 84737,G0(V),18.823,2.795,1.080,1.261,0.295,0.154,0.109,1.022,1.210,5.172,2034.859,1.754,0.416,False
HD 84737_45,HD 84737,G0(V),18.823,2.795,1.080,0.751,1.999,2.719,0.037,1.251,0.967,1.056,2034.449,0.351,0.342,True
HD 84737_46,HD 84737,G0(V),18.823,2.795,1.080,0.747,0.917,0.844,0.097,0.971,2.657,0.923,2034.542,0.361,0.308,False
